English,Chinese
humorous,幽默的、滑稽的
hydrogen,氢
hectare,公顷
heal,治愈、医治
hence,因此、从此
harassment,折磨
heroin,海洛因、吗啡
implement,工具、器具;贯彻、实现;执行
italics,斜体字
idealistic,唯心论的、空想主义、唯心主义者的
identical,同一的、同样的
ignorance,无知、不知
ignore,不理睬、忽视
illuminate,照亮、照明、阐明、说明;照亮
illustrate,举例说明、图解、阐明;举例
illustration,说明、例证、图表
imitation,模仿、效法、冒充
immigrant,移来的、移民的、移居的;侨民
immune,免疫的
impact,碰撞、冲击、冲突;撞击、挤入、压紧
impair,削弱
impartial,公平的、不偏不倚的
impend,进行威胁、即将发生
implementation,执行
impress,印、盖印、留下印象
impression,印象、感想、盖印
inadequate,不充分的、不适当的
inauthentic,不真实的、假的、不可靠的
inbreeding,同系繁殖、近亲交配
incorporate,合并的、结社的;合并
incredibly,不能相信地
incur,招致
indicate,指出、显示、象征、预示
individual,个人、个体;个别的、单独的
individualistic,个人主义的
individuality,个性、个人的特征
indulge,纵容
industrialization,工业化、产业化
inevitable,不可避免的、必然的
infant,婴儿、幼儿;婴儿的、幼稚的
influential,有影响的、有势力的
informality,非正式
ingenuity,机灵、独特性、精巧
ingredient,成分、因素
inhale,吸入、吸气
inherit,继承、遗传而得
initial,最初的、词首的
initially,最初、开头
initiative,主动
innovation,改革、创新
innovative,革新的、创新的
insert,插入、嵌入
insignificant,无关紧要、可忽略的
inspection,检察、视察
instruct,教导、命令
instrument,工具、手段、器械
instrumental,仪器的、器械的
insufficient,不足的、不够的
insulate,使绝缘、隔离
insurance,保险、保险单、保险费
intake,水管、煤气管的进口、出口
integrate,使成整体、结合
intelligible,可理解的
interior,内部的、内的
interplay,相互影响
interpreter,解释者、翻译员
interview,接见、会见
intimidate,胁迫
intonation,语调、声调
intuitively,直觉的、直观的
inundate,淹没
invention,发明、创造
inventive,善于发明、创造的
investigate,调查、研究
investigation,调查、研究
iodine,碘、碘酒
irony,反话、讽刺
irresponsibility,无责任
irreversible,不能撤回的、不能取消的
irritate,激怒、使急噪;刺激
irritation,愤怒
isolate,使隔离、使孤立;隔离种群
issue,出版、发行;发行、流出
itemize,详细说明、逐条登记
landscape,风景、山水画、地形;美化
lack,缺乏
landfill,垃圾掩埋法、垃圾
lather,肥皂泡
leather,皮革、皮革制品
Legal,法律的、法定的、合法
leisure,空闲、闲暇、悠闲
lexicographer,词典编纂者
likelihood,可能、可能性
limitation,限制、局限性
licensee,获许可的人、领到执照的人
literature,文学、文艺、著作
loan,贷款、借出;借、借给
locate,查找、位于;定位、位于
location,位置、场所、特定区域
looseness,松开、解除
luggage,行李、皮箱
luxury,奢侈、华贵
